Port Name,State,Port Code,Border,Date,Measure,Value
San Ysidro,California,2504,US-Mexico Border,Jul 2019,Pedestrians,972455
San Ysidro,California,2504,US-Mexico Border,Jul 2019,Personal Vehicle Passengers,2298255
San Ysidro,California,2504,US-Mexico Border,Jul 2019,Personal Vehicles,1289680
San Ysidro,California,2504,US-Mexico Border,Jun 2019,Bus Passengers,6807
San Ysidro,California,2504,US-Mexico Border,Jun 2019,Buses,3513
San Ysidro,California,2504,US-Mexico Border,Jun 2019,Pedestrians,917615
San Ysidro,California,2504,US-Mexico Border,Jun 2019,Personal Vehicle Passengers,2176784
San Ysidro,California,2504,US-Mexico Border,Jun 2019,Personal Vehicles,1246491
San Ysidro,California,2504,US-Mexico Border,May 2019,Personal Vehicles,1267857
San Ysidro,California,2504,US-Mexico Border,May 2019,Personal Vehicle Passengers,2148620
San Ysidro,California,2504,US-Mexico Border,May 2019,Pedestrians,930046
San Ysidro,California,2504,US-Mexico Border,May 2019,Buses,3329
San Ysidro,California,2504,US-Mexico Border,May 2019,Bus Passengers,7779
San Ysidro,California,2504,US-Mexico Border,Apr 2019,Personal Vehicles,1223897
San Ysidro,California,2504,US-Mexico Border,Apr 2019,Personal Vehicle Passengers,2078570
San Ysidro,California,2504,US-Mexico Border,Apr 2019,Pedestrians,923034
San Ysidro,California,2504,US-Mexico Border,Apr 2019,Buses,2849
San Ysidro,California,2504,US-Mexico Border,Apr 2019,Bus Passengers,5572
San Ysidro,California,2504,US-Mexico Border,Mar 2019,Bus Passengers,7779
San Ysidro,California,2504,US-Mexico Border,Mar 2019,Pedestrians,930046
San Ysidro,California,2504,US-Mexico Border,Mar 2019,Personal Vehicle Passengers,2045733
San Ysidro,California,2504,US-Mexico Border,Mar 2019,Personal Vehicles,1208832
San Ysidro,California,2504,US-Mexico Border,Mar 2019,Buses,3329
San Ysidro,California,2504,US-Mexico Border,Feb 2019,Bus Passengers,4920
San Ysidro,California,2504,US-Mexico Border,Feb 2019,Buses,2952
San Ysidro,California,2504,US-Mexico Border,Feb 2019,Personal Vehicles,1039184
San Ysidro,California,2504,US-Mexico Border,Feb 2019,Pedestrians,749417
San Ysidro,California,2504,US-Mexico Border,Feb 2019,Personal Vehicle Passengers,1731228
San Ysidro,California,2504,US-Mexico Border,Jan 2019,Bus Passengers,5874
San Ysidro,California,2504,US-Mexico Border,Jan 2019,Pedestrians,837806
San Ysidro,California,2504,US-Mexico Border,Jan 2019,Personal Vehicles,1164766
San Ysidro,California,2504,US-Mexico Border,Jan 2019,Buses,3110
San Ysidro,California,2504,US-Mexico Border,Jan 2019,Personal Vehicle Passengers,1985438
San Ysidro,California,2504,US-Mexico Border,Dec 2018,Buses,2995
San Ysidro,California,2504,US-Mexico Border,Dec 2018,Personal Vehicle Passengers,1969155
San Ysidro,California,2504,US-Mexico Border,Dec 2018,Pedestrians,926266
San Ysidro,California,2504,US-Mexico Border,Dec 2018,Personal Vehicles,1123026
San Ysidro,California,2504,US-Mexico Border,Dec 2018,Bus Passengers,5120
San Ysidro,California,2504,US-Mexico Border,Nov 2018,Bus Passengers,4358
San Ysidro,California,2504,US-Mexico Border,Nov 2018,Personal Vehicles,1090239
San Ysidro,California,2504,US-Mexico Border,Nov 2018,Personal Vehicle Passengers,1853285
San Ysidro,California,2504,US-Mexico Border,Nov 2018,Pedestrians,818674
San Ysidro,California,2504,US-Mexico Border,Nov 2018,Buses,2296
San Ysidro,California,2504,US-Mexico Border,Oct 2018,Personal Vehicles,1278614
San Ysidro,California,2504,US-Mexico Border,Oct 2018,Buses,3076
San Ysidro,California,2504,US-Mexico Border,Oct 2018,Pedestrians,860721
San Ysidro,California,2504,US-Mexico Border,Oct 2018,Bus Passengers,4858
San Ysidro,California,2504,US-Mexico Border,Oct 2018,Personal Vehicle Passengers,2160536
San Ysidro,California,2504,US-Mexico Border,Sep 2018,Buses,2531
San Ysidro,California,2504,US-Mexico Border,Sep 2018,Personal Vehicles,1206252
San Ysidro,California,2504,US-Mexico Border,Sep 2018,Personal Vehicle Passengers,2098589
San Ysidro,California,2504,US-Mexico Border,Sep 2018,Bus Passengers,4052
San Ysidro,California,2504,US-Mexico Border,Sep 2018,Pedestrians,816363
San Ysidro,California,2504,US-Mexico Border,Aug 2018,Personal Vehicle Passengers,2212710
San Ysidro,California,2504,US-Mexico Border,Aug 2018,Bus Passengers,4125
San Ysidro,California,2504,US-Mexico Border,Aug 2018,Buses,2590
San Ysidro,California,2504,US-Mexico Border,Aug 2018,Pedestrians,846742
San Ysidro,California,2504,US-Mexico Border,Aug 2018,Personal Vehicles,1280086
San Ysidro,California,2504,US-Mexico Border,Jul 2018,Bus Passengers,4434
San Ysidro,California,2504,US-Mexico Border,Jul 2018,Pedestrians,815882
San Ysidro,California,2504,US-Mexico Border,Jul 2018,Buses,2632
San Ysidro,California,2504,US-Mexico Border,Jul 2018,Personal Vehicle Passengers,2245201
San Ysidro,California,2504,US-Mexico Border,Jul 2018,Personal Vehicles,1252820
San Ysidro,California,2504,US-Mexico Border,Jun 2018,Bus Passengers,4360
San Ysidro,California,2504,US-Mexico Border,Jun 2018,Pedestrians,749204
San Ysidro,California,2504,US-Mexico Border,Jun 2018,Personal Vehicles,1267077
San Ysidro,California,2504,US-Mexico Border,Jun 2018,Buses,2748
San Ysidro,California,2504,US-Mexico Border,Jun 2018,Personal Vehicle Passengers,2202496
San Ysidro,California,2504,US-Mexico Border,May 2018,Pedestrians,755680
San Ysidro,California,2504,US-Mexico Border,May 2018,Buses,2651
San Ysidro,California,2504,US-Mexico Border,May 2018,Personal Vehicle Passengers,2196649
San Ysidro,California,2504,US-Mexico Border,May 2018,Personal Vehicles,1274977
San Ysidro,California,2504,US-Mexico Border,May 2018,Bus Passengers,3977
San Ysidro,California,2504,US-Mexico Border,Apr 2018,Buses,2732
San Ysidro,California,2504,US-Mexico Border,Apr 2018,Pedestrians,744610
San Ysidro,California,2504,US-Mexico Border,Apr 2018,Bus Passengers,4865
San Ysidro,California,2504,US-Mexico Border,Apr 2018,Personal Vehicle Passengers,2152137
San Ysidro,California,2504,US-Mexico Border,Apr 2018,Personal Vehicles,1222493
San Ysidro,California,2504,US-Mexico Border,Mar 2018,Pedestrians,746418
San Ysidro,California,2504,US-Mexico Border,Mar 2018,Personal Vehicles,1227940
San Ysidro,California,2504,US-Mexico Border,Mar 2018,Bus Passengers,4420
San Ysidro,California,2504,US-Mexico Border,Mar 2018,Personal Vehicle Passengers,2153400
San Ysidro,California,2504,US-Mexico Border,Mar 2018,Buses,2749
San Ysidro,California,2504,US-Mexico Border,Feb 2018,Bus Passengers,4389
San Ysidro,California,2504,US-Mexico Border,Feb 2018,Personal Vehicles,1091911
San Ysidro,California,2504,US-Mexico Border,Feb 2018,Pedestrians,656024
San Ysidro,California,2504,US-Mexico Border,Feb 2018,Personal Vehicle Passengers,1872429
San Ysidro,California,2504,US-Mexico Border,Feb 2018,Buses,2395
San Ysidro,California,2504,US-Mexico Border,Jan 2018,Personal Vehicle Passengers,2065547
San Ysidro,California,2504,US-Mexico Border,Jan 2018,Buses,2663
San Ysidro,California,2504,US-Mexico Border,Jan 2018,Pedestrians,699027
San Ysidro,California,2504,US-Mexico Border,Jan 2018,Bus Passengers,4676
San Ysidro,California,2504,US-Mexico Border,Jan 2018,Personal Vehicles,1189871
San Ysidro,California,2504,US-Mexico Border,Dec 2017,Personal Vehicles,1202251
San Ysidro,California,2504,US-Mexico Border,Dec 2017,Personal Vehicle Passengers,2133145
San Ysidro,California,2504,US-Mexico Border,Dec 2017,Pedestrians,773414
San Ysidro,California,2504,US-Mexico Border,Dec 2017,Buses,2794
San Ysidro,California,2504,US-Mexico Border,Dec 2017,Bus Passengers,5268
San Ysidro,California,2504,US-Mexico Border,Nov 2017,Personal Vehicles,1158239
San Ysidro,California,2504,US-Mexico Border,Nov 2017,Bus Passengers,5032
San Ysidro,California,2504,US-Mexico Border,Nov 2017,Buses,2788
San Ysidro,California,2504,US-Mexico Border,Nov 2017,Pedestrians,728420
San Ysidro,California,2504,US-Mexico Border,Nov 2017,Personal Vehicle Passengers,1990602
San Ysidro,California,2504,US-Mexico Border,Oct 2017,Bus Passengers,5209
San Ysidro,California,2504,US-Mexico Border,Oct 2017,Personal Vehicles,1211133
San Ysidro,California,2504,US-Mexico Border,Oct 2017,Personal Vehicle Passengers,2064689
San Ysidro,California,2504,US-Mexico Border,Oct 2017,Buses,2890
San Ysidro,California,2504,US-Mexico Border,Oct 2017,Pedestrians,743024
San Ysidro,California,2504,US-Mexico Border,Sep 2017,Buses,2911
San Ysidro,California,2504,US-Mexico Border,Sep 2017,Bus Passengers,4606
San Ysidro,California,2504,US-Mexico Border,Sep 2017,Personal Vehicles,1110428
San Ysidro,California,2504,US-Mexico Border,Sep 2017,Personal Vehicle Passengers,1882513
San Ysidro,California,2504,US-Mexico Border,Sep 2017,Pedestrians,694607
San Ysidro,California,2504,US-Mexico Border,Aug 2017,Personal Vehicle Passengers,2125264
San Ysidro,California,2504,US-Mexico Border,Aug 2017,Buses,2838
San Ysidro,California,2504,US-Mexico Border,Aug 2017,Pedestrians,746722
San Ysidro,California,2504,US-Mexico Border,Aug 2017,Bus Passengers,5854
San Ysidro,California,2504,US-Mexico Border,Aug 2017,Personal Vehicles,1220538
San Ysidro,California,2504,US-Mexico Border,Jul 2017,Bus Passengers,5430
San Ysidro,California,2504,US-Mexico Border,Jul 2017,Personal Vehicle Passengers,2164841
San Ysidro,California,2504,US-Mexico Border,Jul 2017,Personal Vehicles,1195223
San Ysidro,California,2504,US-Mexico Border,Jul 2017,Pedestrians,752718
San Ysidro,California,2504,US-Mexico Border,Jul 2017,Buses,2968
San Ysidro,California,2504,US-Mexico Border,Jun 2017,Bus Passengers,4664
San Ysidro,California,2504,US-Mexico Border,Jun 2017,Pedestrians,660554
San Ysidro,California,2504,US-Mexico Border,Jun 2017,Buses,2872
San Ysidro,California,2504,US-Mexico Border,Jun 2017,Personal Vehicles,1158818
San Ysidro,California,2504,US-Mexico Border,Jun 2017,Personal Vehicle Passengers,1983329
San Ysidro,California,2504,US-Mexico Border,May 2017,Pedestrians,692159
San Ysidro,California,2504,US-Mexico Border,May 2017,Personal Vehicle Passengers,2026742
San Ysidro,California,2504,US-Mexico Border,May 2017,Bus Passengers,5219
San Ysidro,California,2504,US-Mexico Border,May 2017,Personal Vehicles,1176874
San Ysidro,California,2504,US-Mexico Border,May 2017,Buses,2500
San Ysidro,California,2504,US-Mexico Border,Apr 2017,Buses,3087
San Ysidro,California,2504,US-Mexico Border,Apr 2017,Pedestrians,680433
San Ysidro,California,2504,US-Mexico Border,Apr 2017,Personal Vehicle Passengers,1960771
San Ysidro,California,2504,US-Mexico Border,Apr 2017,Bus Passengers,6019
San Ysidro,California,2504,US-Mexico Border,Apr 2017,Personal Vehicles,1114543
San Ysidro,California,2504,US-Mexico Border,Mar 2017,Pedestrians,665592
San Ysidro,California,2504,US-Mexico Border,Mar 2017,Personal Vehicle Passengers,1975085
San Ysidro,California,2504,US-Mexico Border,Mar 2017,Bus Passengers,4917
San Ysidro,California,2504,US-Mexico Border,Mar 2017,Personal Vehicles,1161576
San Ysidro,California,2504,US-Mexico Border,Mar 2017,Buses,2516
San Ysidro,California,2504,US-Mexico Border,Feb 2017,Buses,2314
San Ysidro,California,2504,US-Mexico Border,Feb 2017,Personal Vehicles,991912
San Ysidro,California,2504,US-Mexico Border,Feb 2017,Bus Passengers,3739
San Ysidro,California,2504,US-Mexico Border,Feb 2017,Pedestrians,547217
San Ysidro,California,2504,US-Mexico Border,Feb 2017,Personal Vehicle Passengers,1676754
San Ysidro,California,2504,US-Mexico Border,Jan 2017,Bus Passengers,5865
San Ysidro,California,2504,US-Mexico Border,Jan 2017,Buses,2889
San Ysidro,California,2504,US-Mexico Border,Jan 2017,Personal Vehicle Passengers,1847403
San Ysidro,California,2504,US-Mexico Border,Jan 2017,Pedestrians,594393
San Ysidro,California,2504,US-Mexico Border,Jan 2017,Personal Vehicles,1076455
San Ysidro,California,2504,US-Mexico Border,Dec 2016,Bus Passengers,5831
San Ysidro,California,2504,US-Mexico Border,Dec 2016,Personal Vehicles,1126342
San Ysidro,California,2504,US-Mexico Border,Dec 2016,Personal Vehicle Passengers,2003826
San Ysidro,California,2504,US-Mexico Border,Dec 2016,Pedestrians,682259
San Ysidro,California,2504,US-Mexico Border,Dec 2016,Buses,3199
San Ysidro,California,2504,US-Mexico Border,Nov 2016,Buses,2355
San Ysidro,California,2504,US-Mexico Border,Nov 2016,Personal Vehicles,1087183
San Ysidro,California,2504,US-Mexico Border,Nov 2016,Personal Vehicle Passengers,1883199
San Ysidro,California,2504,US-Mexico Border,Nov 2016,Bus Passengers,4524
San Ysidro,California,2504,US-Mexico Border,Nov 2016,Pedestrians,671585
San Ysidro,California,2504,US-Mexico Border,Oct 2016,Bus Passengers,4333
San Ysidro,California,2504,US-Mexico Border,Oct 2016,Buses,2332
San Ysidro,California,2504,US-Mexico Border,Oct 2016,Personal Vehicle Passengers,1996291
San Ysidro,California,2504,US-Mexico Border,Oct 2016,Pedestrians,754854
San Ysidro,California,2504,US-Mexico Border,Oct 2016,Personal Vehicles,1150243
San Ysidro,California,2504,US-Mexico Border,Sep 2016,Buses,2190
San Ysidro,California,2504,US-Mexico Border,Sep 2016,Personal Vehicle Passengers,1877128
San Ysidro,California,2504,US-Mexico Border,Sep 2016,Bus Passengers,4787
San Ysidro,California,2504,US-Mexico Border,Sep 2016,Pedestrians,621470
San Ysidro,California,2504,US-Mexico Border,Sep 2016,Personal Vehicles,1088784
